"Woche";"Jahr";"Lufttemperatur";"Bedeckungsgrad";"Windgeschwindigkeit";"Niederschlagshoehe";"Sonnenscheindauer";"LufttemperaturMax";"Hitze";"Sommer"
1;2000;4.73248760416863;6.55598927891091;3.68651032315594;1.17557409343984;1.44855931086537;0;0;0
1;2001;5.08446280737126;6.59798158040218;4.83456250459976;3.57088652658279;0.734532381488664;0;0;0
1;2002;-5.11309020331388;3.54859816283253;2.75266546744736;0.197608122286139;4.32158389372019;0;0;0
1;2003;3.31553599455046;7.25647347369106;4.48623254014846;4.91946432208452;0.674354449748318;0;0;0
1;2004;-1.07304991365279;6.34811567959279;2.71723435609283;0.298311223083888;1.47077835722929;0;0;0
1;2005;6.62927179090453;6.01774388167094;5.93112093915645;0.815628588886283;1.75594050000941;0;0;0
1;2006;0.661187055962237;6.8562297503376;2.90323406969507;0.0120447944354398;0.785818689678898;0;0;0
1;2007;6.88446588814399;6.96360203947155;5.46051733020236;2.70354169055692;0.597884536061301;0;0;0
1;2008;0.76326520832014;5.9689047339496;3.49553116800652;1.50753060662127;1.52069663117502;0;0;0
1;2009;-3.72592487364553;3.92450600665105;2.24893225551929;0.66931687287876;3.21723469840091;0;0;0
1;2010;-4.13373651520105;7.12140127235914;3.05684419334245;0.575183177611682;0.857902609927961;0;0;0
1;2011;2.10361186371346;6.78360464101296;3.70063549495181;3.44785244467874;1.22601609874904;0;0;0
1;2012;5.83056605775764;6.61656240533042;6.42763761212729;4.27284589803669;0.939820870181372;0;0;0
1;2013;6.56321026787319;7.20236346614316;4.67085469193129;1.70804423989635;0.262675240343061;0;0;0
1;2014;4.88505140611602;5.55998196036415;4.30452907821569;0.891982802442026;2.50438941651876;0;0;0
1;2015;1.51165062668052;6.83776390669366;3.90864701019565;2.57126922701701;0.876846110267702;0;0;0
1;2016;2.60731666407083;6.46005350275301;4.2016242518429;2.22182265360647;1.42053985407407;0;0;0
1;2017;-1.59275368023975;5.81667451122685;3.64203337846095;1.17718910296456;1.90950178770395;0;0;0
1;2018;6.28289486520764;7.03748786945739;5.45764878848613;4.71987166870055;0.699240247214896;0;0;0
1;2019;3.83851119946463;6.9342860908246;4.17665664274504;1.69430758777207;0.949312217488862;0;0;0
1;2020;2.53285164881245;5.63258156773678;3.42272959886628;0.53152914154268;2.11399492357116;0;0;0
1;2021;0.839816933638444;7.30843618264875;2.7776121957523;0.937003332369166;0.561533814047981;0;0;0
1;2022;4.04824644127962;6.48612984772425;4.82220004826544;3.5069190732351;1.06165892765148;0;0;0
1;2023;8.75312518719973;7.18010146011512;4.58777652074644;1.97550152412673;1.23980426823946;0;0;0
1;2024;5.5418923475317;7.52216650207353;5.24151426825657;5.01209716757179;0.429415560298424;0;0;0
1;2025;1.97971910198898;7.10806169760846;4.55567093239587;3.36035781463675;1.18764883983234;0;0;0
1;2026;-0.251843414591567;5.92891658921946;4.47958834030216;1.04934422329441;2.28494396416719;0;0;0
2;2000;0.678533346797451;6.65396760738632;2.73951826983804;0.196181382205799;1.23261340238828;0;0;0
2;2001;0.529163792705072;4.73090340237117;2.74581797083193;0.871506788825011;3.12646640502919;0;0;0
2;2002;-1.21030467130722;6.72784573544035;2.32674350342051;0.183901935581042;1.32238181385629;0;0;0
2;2003;-6.44131709880209;4.58612419964092;2.48437123995968;0.262763898135961;3.65685240873639;0;0;0
2;2004;3.42190532100796;7.3180257723754;3.90370616958969;3.93209121141118;0.60820221507559;0;0;0
2;2005;4.20317062859744;4.15034188019559;3.75390291115907;0.371871689239032;3.26127588490918;0;0;0
2;2006;-1.85055582274603;4.54759965016114;3.06835841025281;0.372707776726131;3.24988387198362;0;0;0
2;2007;9.14974883144579;6.32366290184829;6.57278068834732;1.95396264391915;1.29731647580139;0;0;0
2;2008;5.03667523007382;5.23324496079717;4.59985742868439;1.03885487677765;2.22712842885726;0;0;0
2;2009;-6.93170166481535;3.21298015126594;2.24043103433521;0.129166873477799;4.16569388415268;0;0;0
2;2010;-1.46598724217783;7.39522497342834;3.2768567218182;1.48051839135741;0.33278370065843;0;0;0
2;2011;6.2024522950901;6.47813626942384;4.2458059558183;3.08748881080461;1.42950541616961;0;0;0
2;2012;4.05775336360478;5.82662112828166;3.92347018239886;0.799209439487633;2.01427048157612;0;0;0
2;2013;2.01583414488874;6.56820214661397;2.73140950486848;1.13122791043167;1.42288740289148;0;0;0
2;2014;6.25315633723508;5.41928289880175;4.32462239139848;1.27312385219822;2.45917205944522;0;0;0
2;2015;4.68842468109723;6.75440572749881;5.69785520025879;3.25536371089344;1.32063809649322;0;0;0
2;2016;2.44034973616605;6.82699441524366;4.3822189779023;2.3286366382608;0.662253516787644;0;0;0
2;2017;1.52413494469157;6.93726554035898;4.84756353665863;2.38742120495867;0.73696602078837;0;0;0
2;2018;3.49649288255923;6.41551425798733;3.21622985303003;0.138059695106193;1.57291932312;0;0;0
2;2019;3.52453989515103;7.48974821529124;5.1783995043379;3.82003272465251;0.237946733439563;0;0;0
2;2020;5.29576410865543;6.69246990684086;3.90591234516978;1.3204488001246;1.00522105400081;0;0;0
2;2021;0.227021286427998;6.99413985681253;3.68198381225086;1.53697184002574;0.886944540956306;0;0;0
2;2022;1.54492656635899;6.7177534662972;2.58019234291054;0.0670059510259829;1.47568174933122;0;0;0
2;2023;7.26518572780688;7.16766977197147;5.93835099928287;3.80066904114372;0.553474170288001;0;0;0
2;2024;-2.53849374175251;4.7309277062449;3.39791791109917;0.141002517675934;3.32063364648818;0;0;0
2;2025;2.85600057507758;6.0841668820355;4.40231177762298;2.37793276726987;1.94938512911005;0;0;0
2;2026;-2.10406867384715;6.51339708250823;3.85504057206526;1.99645009404915;1.94856953731928;0;0;0
3;2000;2.35166900862445;6.35068555750861;4.94904864026673;1.33216994226974;1.19775291860427;0;0;0
3;2001;-2.25190451658397;4.92819933968771;2.40554367936687;0.918063083956191;2.98920925121819;0;0;0
3;2002;0.784372780346039;6.84223243060987;4.01816954176929;1.07252635344336;0.770774249532322;0;0;0
3;2003;2.43299422012806;6.50106697428753;4.43573593670039;1.05939781162444;1.73253758114841;0;0;0
3;2004;4.35589702688317;6.75507685672182;5.44699205331791;4.31825374955714;0.8505412746526;0;0;0
3;2005;3.29853064256361;6.14946266189033;5.51139187029719;4.35587152493115;1.68394335485881;0;0;0
3;2006;0.773388798652675;6.05975843318745;3.850856882703;1.68802264025646;1.46019966830347;0;0;0
3;2007;7.69011123301082;5.98713346649118;6.30370770997606;4.16337081036303;1.3781912098708;0;0;0
3;2008;7.42554867706485;6.93425305809482;5.59143237104827;3.42984036462657;0.932375155964119;0;0;0
3;2009;-0.395375588983841;6.08975489029882;3.22837408796291;0.918803667488777;2.04802907564837;0;0;0
3;2010;-0.367258745543577;7.53439271979174;2.81522723266167;0.794986727004171;0.557486705609916;0;0;0
3;2011;1.96135906577279;6.65300127167452;2.59760024920028;1.17659485613647;1.12137953579601;0;0;0
3;2012;2.13862398997722;5.52720373663501;4.33453837188008;5.25693541844596;2.49629177656182;0;0;0
3;2013;-3.29286955152507;7.32896850594504;3.11470281668204;1.0423462480467;0.337685210065911;0;0;0
3;2014;4.35377317639649;6.72880916153347;3.45388425536867;1.11027899820117;1.34032166690343;0;0;0
3;2015;5.14881244769105;6.2831153116116;5.08189084137615;1.98007458893078;1.4165398129971;0;0;0
3;2016;-1.83223275580255;5.79786382642242;2.79473855364567;0.708398528759869;2.82244685239162;0;0;0
3;2017;-3.33235033862827;3.3994468301416;2.13995152917577;0.00789704742164996;4.85215286109652;0;0;0
3;2018;2.81158986699619;6.77018102962848;5.09576325288523;4.00708611957848;0.74852371082498;0;0;0
3;2019;1.57121394426198;5.76984242988532;4.21731177477041;0.827607146708109;3.03017189000272;0;0;0
3;2020;6.14472888344239;5.48820800008215;4.13385067494596;0.357913906094624;2.79955893603802;0;0;0
3;2021;4.20699951563407;7.26487946476708;4.96544006271084;2.35758785764776;1.13141190102504;0;0;0
3;2022;3.55977828705613;6.89146129608109;3.8979536822936;0.611074008718587;0.807614985563157;0;0;0
3;2023;0.777666280429049;6.63034817866428;3.50660055556602;1.12305427808082;1.55025476278906;0;0;0
3;2024;-1.24043206125945;6.2118145637255;3.94325473369287;1.47180271416077;2.33101585057568;0;0;0
3;2025;-0.293345017449154;5.90929530746968;2.11095409819792;0.0726783382311914;2.54899284404957;0;0;0
3;2026;4.48286388632633;7.05365525126269;3.29014666189717;1.23774340243963;1.99691255226617;0;0;0
4;2000;0.14941918876408;4.91500353433093;4.64372660538211;2.17102635943375;3.78991320778614;0;0;0
4;2001;4.32672399185991;6.27557717421256;4.2632756487166;2.90381314086491;1.67892443377965;0;0;0
4;2002;7.61694151152979;6.56286710402229;6.14811400228319;2.9875129435243;1.06880888768701;0;0;0
4;2003;3.97695188346464;6.34084539826689;3.82252969094715;1.46792230975801;1.81160886509467;0;0;0
4;2004;-0.491961408186982;6.33248572147418;3.00835830756039;2.03256873118375;1.73379915757981;0;0;0
4;2005;-2.55177871836432;6.37905262815587;2.92015030747823;0.345006837603912;1.52365109221951;0;0;0
4;2006;-5.28366865262405;3.27204917597887;2.80111284357034;0.298846079459975;5.58898332788493;0;0;0
4;2007;-0.795605277705988;5.88563692408805;4.20971487448418;0.802921428314697;1.71188493656175;0;0;0
4;2008;5.58356287942711;6.31267720861452;5.11205215405917;2.0843904092122;2.5892224300793;0;0;0
4;2009;2.39248188762368;5.68208513544275;3.99169457903808;2.06060889761394;2.45362820892431;0;0;0
4;2010;-3.05247360376813;6.29652557298094;3.88894379130161;1.59476987483505;1.41908607165535;0;0;0
4;2011;-0.682579941773395;5.31101941057972;3.21316722263204;0.675670624318593;2.61827274765562;0;0;0
4;2012;0.833311197410782;6.38725124899661;3.19344257525215;0.777126974047913;1.49305610942905;0;0;0
4;2013;-2.55661176615566;7.23777814670982;2.94136254019981;0.527879452786302;0.604428953102081;0;0;0
4;2014;0.900774814340655;7.56224341869926;3.24119489481728;2.09812860172284;0.333386162880454;0;0;0
4;2015;0.06648786774585;6.96150454670708;2.56600658258439;0.736557304940019;0.450043216395188;0;0;0
4;2016;7.4159022641968;6.4113370724786;5.31280146644782;2.01018914232999;2.02575235037286;0;0;0
4;2017;-2.16427689985264;4.90588992399049;2.66129026184857;0.197814020596677;3.43105042369183;0;0;0
4;2018;6.59439162440588;7.53215933071924;3.90313297470857;1.04463337948787;0.484582101737385;0;0;0
4;2019;-1.16732463984911;7.07121642599556;3.55005451256185;1.29049923922029;1.33375123444852;0;0;0
